"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SPARC",1.38122482140405e-07,0.457473105172403,1,0.932,0.0020066434205358,"1","SPARC"
"GADD45B",1.43479691201123e-07,0.476265825031597,0.916,0.85,0.00208447295376992,"1","GADD45B"
"ATP6V1G1",1.67769092638765e-07,0.334482104430646,0.891,0.666,0.00243734937785598,"1","ATP6V1G1"
"CIRBP",2.05851343189403e-07,0.402841373213846,0.983,0.876,0.00299060831385564,"1","CIRBP"
"RASD1",2.11202685535762e-07,0.496138854781433,0.353,0.163,0.00306835261546355,"1","RASD1"
"FOS",2.83716640245921e-07,0.37957774833812,1,0.988,0.00412183534949274,"1","FOS"
"PTP4A3",3.49729603403205e-07,0.613244827764706,0.504,0.315,0.00508087167824176,"1","PTP4A3"
"ADAMTS1",3.95809913297438e-07,0.331400151632293,0.689,0.438,0.00575032642038518,"1","ADAMTS1"
"SH3PXD2A",4.42977982920037e-07,0.281144670762665,0.361,0.161,0.00643558413586229,"1","SH3PXD2A"
"H3F3B",5.035469093885e-07,0.313290793067849,1,0.997,0.00731552949959613,"1","H3F3B"
"COL18A1",5.89772298998275e-07,0.398132086164346,0.613,0.407,0.00856821195984694,"1","COL18A1"
"GPRC5C",7.34444192607216e-07,0.329332466215514,0.387,0.189,0.0106700052301976,"1","GPRC5C"
"RBP1",8.29639300090324e-07,0.374612044965679,0.42,0.221,0.0120529997517122,"1","RBP1"
"CCDC107",1.03503024794577e-06,0.345139480054219,0.42,0.221,0.0150369194421562,"1","CCDC107"
"ARPC2",1.15048104006386e-06,0.353539015824442,0.983,0.873,0.0167141885500478,"1","ARPC2"
"COX4I1",1.17008121419108e-06,0.356405718678412,1,0.941,0.0169989398797681,"1","COX4I1"
"SEPT11",1.20742378354555e-06,0.326392982575777,0.429,0.226,0.0175414527273498,"1","SEPT11"
"ARHGDIB",1.99961358501867e-06,0.351538448978472,0.899,0.774,0.0290503861631513,"1","ARHGDIB"
"LDHB",2.53965802366152e-06,0.259181005058299,0.874,0.577,0.0368961517677545,"1","LDHB"
"NRGN",3.41636272972357e-06,0.282908129124162,0.252,0.102,0.049632917737424,"1","NRGN"
"SLC25A4",3.5450137920654e-06,0.342872825174768,0.37,0.193,0.0515019603711261,"1","SLC25A4"
"UBXN1",3.57439195267793e-06,0.31533661292835,0.84,0.626,0.051928766288505,"1","UBXN1"
"VDAC2",3.65946698961612e-06,0.366887422564031,0.605,0.432,0.053164736425143,"1","VDAC2"
"EEF2",4.149788060084e-06,0.311617695020523,0.983,0.946,0.0602881209369003,"1","EEF2"
"CCND1",4.30627129183755e-06,0.408130446338726,0.756,0.565,0.0625615093278159,"1","CCND1"
"H2AFJ",4.53085572134593e-06,0.379538971595117,0.487,0.297,0.0658242719197137,"1","H2AFJ"
