"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ARMCX3",9.23684311990974e-22,0.276655459617697,0.395,0.227,1.74724124456213e-17,"0","ARMCX3"
"EIF1B",1.00465392980757e-21,0.271286522199435,0.472,0.287,1.90040337362401e-17,"0","EIF1B"
"RBM8A",1.44515926101623e-21,0.277112405108126,0.599,0.392,2.7336632581383e-17,"0","RBM8A"
"VPS28",1.74970071130247e-21,0.262484443050974,0.563,0.356,3.30973386549976e-17,"0","VPS28"
"NACA",2.06706120702993e-21,0.270920172138672,0.971,0.928,3.91005297921782e-17,"0","NACA"
"HNRNPC",3.08430960643528e-21,0.256677492864224,0.716,0.513,5.83428005153297e-17,"0","HNRNPC"
"TCF25",3.09150932203248e-21,0.254332333140943,0.572,0.376,5.84789903355665e-17,"0","TCF25"
"ZFAND5",3.15261811275843e-21,0.276282107489336,0.488,0.295,5.96349242209385e-17,"0","ZFAND5"
"SKP1",7.41234907864849e-21,0.253261328702479,0.886,0.687,1.40211995171715e-16,"0","SKP1"
"SYF2",7.61397421012251e-21,0.250695865799048,0.545,0.347,1.44025936158677e-16,"0","SYF2"
"SRRM2",1.16369414921084e-20,0.300658983212425,0.609,0.428,2.20124385264723e-16,"0","SRRM2"
"EIF3E",1.18226435802384e-20,0.253216747742279,0.876,0.701,2.2363712596379e-16,"0","EIF3E"
"FKBP8",1.46717465907818e-20,0.275444064852302,0.559,0.372,2.77530758511228e-16,"0","FKBP8"
"SF3B6",2.63034329301355e-20,0.283604508030916,0.555,0.366,4.97555737306443e-16,"0","SF3B6"
"TRA2A",3.54598049000034e-20,0.275719548870508,0.445,0.271,6.70757669488464e-16,"0","TRA2A"
"IGFBP5",3.57418454764828e-20,0.353767928387366,0.298,0.142,6.76092749033149e-16,"0","IGFBP5"
"C11orf58",3.76389052475645e-20,0.263090471834787,0.661,0.457,7.11977531662931e-16,"0","C11orf58"
"TCEB1",1.56713571403212e-19,0.255297583585528,0.577,0.377,2.96439391666315e-15,"0","TCEB1"
"C19orf60",1.91461052821398e-19,0.255210668320901,0.497,0.318,3.62167727516956e-15,"0","C19orf60"
"MIR4435-2HG",5.07466862943355e-19,0.330084542899693,0.485,0.31,9.5992431794365e-15,"0","MIR4435-2HG"
"SEC11A",5.94943847576762e-19,0.254829390384312,0.642,0.443,1.1253957820762e-14,"0","SEC11A"
"HNRNPF",9.79472367978905e-19,0.261445441518198,0.592,0.401,1.8527699312689e-14,"0","HNRNPF"
"ZNF302",8.68845284722454e-18,0.288400475823121,0.253,0.125,1.64350774058099e-13,"0","ZNF302"
"C6orf62",1.01812336630175e-17,0.259218195089796,0.413,0.254,1.92588215969639e-13,"0","C6orf62"
"IGFBP3",1.02467261720332e-17,0.696480304752589,0.258,0.132,1.93827072270179e-13,"0","IGFBP3"
"HNRNPH1",2.34007098486953e-17,0.304150407735838,0.533,0.363,4.42647827497921e-13,"0","HNRNPH1"
